ID,AR,EN
B01_IGNAR_ENTRANCE,الاحتراق ليس غضباً؛ إنه وعد لا ينجو منه من يقرأ الشرارة متأخراً.,النار is not anger; it is a promise no one survives by reading its spark too late.
B01_IGNAR_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل النار حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let النار become an excuse for another authority."
B01_IGNAR_AFTER,صدى النار لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of النار does not own you, Aren. Ask what remains of us when you let it pass through you."
B02_NIMARA_ENTRANCE,كل موجة تعيد ما أخذته، إلا من يظن نفسه أثقل من البحر.,الماء is not anger; it is a promise no one survives by reading its spark too late.
B02_NIMARA_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الماء حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الماء become an excuse for another authority."
B02_NIMARA_AFTER,صدى الماء لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الماء does not own you, Aren. Ask what remains of us when you let it pass through you."
B03_DAHIR_ENTRANCE,الأرض تحفظ الأقدام التي تحترمها، وتفتح فمها تحت من يدوس بلا سؤال.,التراب is not anger; it is a promise no one survives by reading its spark too late.
B03_DAHIR_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل التراب حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let التراب become an excuse for another authority."
B03_DAHIR_AFTER,صدى التراب لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of التراب does not own you, Aren. Ask what remains of us when you let it pass through you."
B04_KHARUS_ENTRANCE,اضرب ما تشاء؛ الجدار لا يسقط لأنك غضبت، بل لأنك فهمت موضع شقّه.,الصخر is not anger; it is a promise no one survives by reading its spark too late.
B04_KHARUS_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الصخر حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الصخر become an excuse for another authority."
B04_KHARUS_AFTER,صدى الصخر لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الصخر does not own you, Aren. Ask what remains of us when you let it pass through you."
B05_ZEFRA_ENTRANCE,لا أرض تحتك لتخطئ عليها. تعلّم أن تختار وجهتك قبل أن تختار سرعتك.,الهواء is not anger; it is a promise no one survives by reading its spark too late.
B05_ZEFRA_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الهواء حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الهواء become an excuse for another authority."
B05_ZEFRA_AFTER,صدى الهواء لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الهواء does not own you, Aren. Ask what remains of us when you let it pass through you."
B06_VOLTARA_ENTRANCE,كل مسافة بينكما سلك، وكل تردد دعوة لصاعقة تعرف عنوانك.,البرق is not anger; it is a promise no one survives by reading its spark too late.
B06_VOLTARA_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل البرق حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let البرق become an excuse for another authority."
B06_VOLTARA_AFTER,صدى البرق لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of البرق does not own you, Aren. Ask what remains of us when you let it pass through you."
B07_ESKREL_ENTRANCE,البرد لا يقتل الاندفاع؛ يجعله تمثالاً كي يتعلم الصبر.,الجليد is not anger; it is a promise no one survives by reading its spark too late.
B07_ESKREL_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الجليد حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الجليد become an excuse for another authority."
B07_ESKREL_AFTER,صدى الجليد لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الجليد does not own you, Aren. Ask what remains of us when you let it pass through you."
B08_FERLIA_ENTRANCE,ما ينمو بلا حد يلتف على من رعاه. هل تقطع الجذر أم تسمع ما يطلب؟,الطبيعة is not anger; it is a promise no one survives by reading its spark too late.
B08_FERLIA_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الطبيعة حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الطبيعة become an excuse for another authority."
B08_FERLIA_AFTER,صدى الطبيعة لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الطبيعة does not own you, Aren. Ask what remains of us when you let it pass through you."
B09_SAHRAK_ENTRANCE,لا تتبع ما تراه أولاً؛ العين عطشى، والرمل يعرف كيف يسقي الوهم.,الرمل is not anger; it is a promise no one survives by reading its spark too late.
B09_SAHRAK_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الرمل حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الرمل become an excuse for another authority."
B09_SAHRAK_AFTER,صدى الرمل لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الرمل does not own you, Aren. Ask what remains of us when you let it pass through you."
B10_FERRON_ENTRANCE,القوة التي لا تنحني تكسر من يحملها. أرِني إن كنت تعرف وزن يدك.,المعدن is not anger; it is a promise no one survives by reading its spark too late.
B10_FERRON_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل المعدن حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let المعدن become an excuse for another authority."
B10_FERRON_AFTER,صدى المعدن لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of المعدن does not own you, Aren. Ask what remains of us when you let it pass through you."
B11_LUMIRA_ENTRANCE,النور لا يبرئ أحداً؛ إنه يكشف الزاوية التي اختار أن يقف فيها.,الضوء is not anger; it is a promise no one survives by reading its spark too late.
B11_LUMIRA_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الضوء حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الضوء become an excuse for another authority."
B11_LUMIRA_AFTER,صدى الضوء لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الضوء does not own you, Aren. Ask what remains of us when you let it pass through you."
B12_GRAVEIM_ENTRANCE,كل جوهر حملته يطالبك الآن: هل تجمع الثقل أم تعيده إلى مكانه؟,الجاذبية is not anger; it is a promise no one survives by reading its spark too late.
B12_GRAVEIM_DEATH,كنت أظن أن الحراسة تعني أن أبقى وحدي. خذ الجوهر، ولا تجعل الجاذبية حجة لسلطة أخرى.,"I thought guardianship meant standing alone. Take the core, and do not let الجاذبية become an excuse for another authority."
B12_GRAVEIM_AFTER,صدى الجاذبية لا يملكك يا آرين. اسأل ما الذي سيبقى منّا حين تتركه يمر فيك.,"The echo of الجاذبية does not own you, Aren. Ask what remains of us when you let it pass through you."
آرين_INT_01,أنا أسمع ما لا تقوله الجدران.,I hear what the walls do not say.
آرين_INT_02,لن نكسب شيئاً إذا نسينا من يدفع الثمن.,We gain nothing if we forget who pays the price.
